Passo;Temperatura;FO_atual;FO_vizinho;Melhor_FO;Movimento_Aceito
166;950.0000;21.0000;-2969.0000;25.0000;0
167;950.0000;9.0000;9.0000;25.0000;1
168;950.0000;2.0000;2.0000;25.0000;1
169;950.0000;0.0000;0.0000;25.0000;1
170;950.0000;6.0000;6.0000;25.0000;1
171;950.0000;18.0000;18.0000;25.0000;1
172;950.0000;6.0000;6.0000;25.0000;1
173;950.0000;8.0000;8.0000;25.0000;1
174;950.0000;6.0000;6.0000;25.0000;1
175;950.0000;0.0000;0.0000;25.0000;1
176;950.0000;2.0000;2.0000;25.0000;1
177;950.0000;12.0000;12.0000;25.0000;1
178;950.0000;19.0000;19.0000;25.0000;1
179;950.0000;12.0000;12.0000;25.0000;1
180;950.0000;10.0000;10.0000;25.0000;1
181;950.0000;22.0000;22.0000;25.0000;1
182;950.0000;12.0000;12.0000;25.0000;1
183;950.0000;0.0000;0.0000;25.0000;1
184;950.0000;2.0000;2.0000;25.0000;1
185;950.0000;14.0000;14.0000;25.0000;1
186;950.0000;21.0000;21.0000;25.0000;1
187;950.0000;14.0000;14.0000;25.0000;1
188;950.0000;12.0000;12.0000;25.0000;1
189;950.0000;14.0000;14.0000;25.0000;1
190;950.0000;20.0000;20.0000;25.0000;1
191;950.0000;20.0000;-1970.0000;25.0000;0
192;950.0000;8.0000;8.0000;25.0000;1
193;950.0000;2.0000;2.0000;25.0000;1
194;950.0000;12.0000;12.0000;25.0000;1
195;950.0000;19.0000;19.0000;25.0000;1
196;950.0000;9.0000;9.0000;25.0000;1
197;950.0000;2.0000;2.0000;25.0000;1
198;950.0000;12.0000;12.0000;25.0000;1
199;950.0000;10.0000;10.0000;25.0000;1
0;902.5000;17.0000;17.0000;25.0000;1
1;902.5000;19.0000;19.0000;25.0000;1
2;902.5000;25.0000;25.0000;25.0000;1
3;902.5000;25.0000;-4963.0000;25.0000;0
4;902.5000;23.0000;23.0000;25.0000;1
5;902.5000;25.0000;25.0000;25.0000;1
6;902.5000;23.0000;23.0000;25.0000;1
7;902.5000;23.0000;-3965.0000;25.0000;0
8;902.5000;16.0000;16.0000;25.0000;1
9;902.5000;23.0000;23.0000;25.0000;1
10;902.5000;16.0000;16.0000;25.0000;1
11;902.5000;-972.0000;-972.0000;25.0000;1
12;902.5000;-972.0000;-1970.0000;25.0000;0
13;902.5000;-972.0000;-3965.0000;25.0000;0
14;902.5000;16.0000;16.0000;25.0000;1
15;902.5000;6.0000;6.0000;25.0000;1
16;902.5000;0.0000;0.0000;25.0000;1
17;902.5000;2.0000;2.0000;25.0000;1
18;902.5000;12.0000;12.0000;25.0000;1
19;902.5000;19.0000;19.0000;25.0000;1
20;902.5000;9.0000;9.0000;25.0000;1
21;902.5000;21.0000;21.0000;25.0000;1
22;902.5000;21.0000;-973.0000;25.0000;0
23;902.5000;19.0000;19.0000;25.0000;1
24;902.5000;7.0000;7.0000;25.0000;1
25;902.5000;13.0000;13.0000;25.0000;1
26;902.5000;23.0000;23.0000;25.0000;1
27;902.5000;13.0000;13.0000;25.0000;1
28;902.5000;25.0000;25.0000;25.0000;1
29;902.5000;13.0000;13.0000;25.0000;1
30;902.5000;25.0000;25.0000;25.0000;1
31;902.5000;18.0000;18.0000;25.0000;1
32;902.5000;20.0000;20.0000;25.0000;1
33;902.5000;-973.0000;-973.0000;25.0000;1
34;902.5000;20.0000;20.0000;25.0000;1
35;902.5000;14.0000;14.0000;25.0000;1
36;902.5000;20.0000;20.0000;25.0000;1
37;902.5000;20.0000;-973.0000;25.0000;0
38;902.5000;18.0000;18.0000;25.0000;1
39;902.5000;12.0000;12.0000;25.0000;1
40;902.5000;0.0000;0.0000;25.0000;1
41;902.5000;7.0000;7.0000;25.0000;1
42;902.5000;13.0000;13.0000;25.0000;1
43;902.5000;15.0000;15.0000;25.0000;1
44;902.5000;8.0000;8.0000;25.0000;1
45;902.5000;2.0000;2.0000;25.0000;1
46;902.5000;12.0000;12.0000;25.0000;1
47;902.5000;2.0000;2.0000;25.0000;1
48;902.5000;0.0000;0.0000;25.0000;1
49;902.5000;2.0000;2.0000;25.0000;1
50;902.5000;0.0000;0.0000;25.0000;1
51;902.5000;10.0000;10.0000;25.0000;1
52;902.5000;22.0000;22.0000;25.0000;1
53;902.5000;22.0000;-972.0000;25.0000;0
54;902.5000;22.0000;-1971.0000;25.0000;0
55;902.5000;10.0000;10.0000;25.0000;1
56;902.5000;16.0000;16.0000;25.0000;1
57;902.5000;6.0000;6.0000;25.0000;1
58;902.5000;16.0000;16.0000;25.0000;1
59;902.5000;23.0000;23.0000;25.0000;1
60;902.5000;25.0000;25.0000;25.0000;1
61;902.5000;23.0000;23.0000;25.0000;1
62;902.5000;23.0000;-3965.0000;25.0000;0
63;902.5000;16.0000;16.0000;25.0000;1
64;902.5000;18.0000;18.0000;25.0000;1
65;902.5000;25.0000;25.0000;25.0000;1
66;902.5000;15.0000;15.0000;25.0000;1
67;902.5000;9.0000;9.0000;25.0000;1
68;902.5000;19.0000;19.0000;25.0000;1
69;902.5000;12.0000;12.0000;25.0000;1
70;902.5000;19.0000;19.0000;25.0000;1
71;902.5000;25.0000;25.0000;25.0000;1
72;902.5000;15.0000;15.0000;25.0000;1
73;902.5000;25.0000;25.0000;25.0000;1
74;902.5000;23.0000;23.0000;25.0000;1
75;902.5000;25.0000;25.0000;25.0000;1
76;902.5000;25.0000;-4963.0000;25.0000;0
77;902.5000;23.0000;23.0000;25.0000;1
78;902.5000;13.0000;13.0000;25.0000;1
79;902.5000;23.0000;23.0000;25.0000;1
80;902.5000;16.0000;16.0000;25.0000;1
81;902.5000;18.0000;18.0000;25.0000;1
82;902.5000;12.0000;12.0000;25.0000;1
83;902.5000;2.0000;2.0000;25.0000;1
84;902.5000;8.0000;8.0000;25.0000;1
85;902.5000;2.0000;2.0000;25.0000;1
86;902.5000;9.0000;9.0000;25.0000;1
87;902.5000;15.0000;15.0000;25.0000;1
88;902.5000;-973.0000;-973.0000;25.0000;1
89;902.5000;21.0000;21.0000;25.0000;1
90;902.5000;-973.0000;-973.0000;25.0000;1
91;902.5000;21.0000;21.0000;25.0000;1
92;902.5000;21.0000;-2969.0000;25.0000;0
93;902.5000;21.0000;-2969.0000;25.0000;0
94;902.5000;9.0000;9.0000;25.0000;1
95;902.5000;19.0000;19.0000;25.0000;1
96;902.5000;12.0000;12.0000;25.0000;1
97;902.5000;18.0000;18.0000;25.0000;1
98;902.5000;18.0000;-1970.0000;25.0000;0
99;902.5000;16.0000;16.0000;25.0000;1
100;902.5000;10.0000;10.0000;25.0000;1
101;902.5000;22.0000;22.0000;25.0000;1
102;902.5000;24.0000;24.0000;25.0000;1
103;902.5000;14.0000;14.0000;25.0000;1
104;902.5000;21.0000;21.0000;25.0000;1
105;902.5000;21.0000;-2969.0000;25.0000;0
106;902.5000;19.0000;19.0000;25.0000;1
107;902.5000;7.0000;7.0000;25.0000;1
108;902.5000;17.0000;17.0000;25.0000;1
109;902.5000;17.0000;-1971.0000;25.0000;0
110;902.5000;19.0000;19.0000;25.0000;1
111;902.5000;9.0000;9.0000;25.0000;1
112;902.5000;2.0000;2.0000;25.0000;1
113;902.5000;9.0000;9.0000;25.0000;1
114;902.5000;15.0000;15.0000;25.0000;1
115;902.5000;9.0000;9.0000;25.0000;1
116;902.5000;7.0000;7.0000;25.0000;1
117;902.5000;13.0000;13.0000;25.0000;1
118;902.5000;6.0000;6.0000;25.0000;1
119;902.5000;18.0000;18.0000;25.0000;1
120;902.5000;20.0000;20.0000;25.0000;1
121;902.5000;14.0000;14.0000;25.0000;1
122;902.5000;24.0000;24.0000;25.0000;1
123;902.5000;14.0000;14.0000;25.0000;1
124;902.5000;2.0000;2.0000;25.0000;1
125;902.5000;0.0000;0.0000;25.0000;1
126;902.5000;6.0000;6.0000;25.0000;1
127;902.5000;13.0000;13.0000;25.0000;1
128;902.5000;15.0000;15.0000;25.0000;1
129;902.5000;13.0000;13.0000;25.0000;1
130;902.5000;15.0000;15.0000;25.0000;1
131;902.5000;-973.0000;-973.0000;25.0000;1
132;902.5000;15.0000;15.0000;25.0000;1
133;902.5000;9.0000;9.0000;25.0000;1
134;902.5000;19.0000;19.0000;25.0000;1
135;902.5000;25.0000;25.0000;25.0000;1
136;902.5000;23.0000;23.0000;25.0000;1
137;902.5000;13.0000;13.0000;25.0000;1
138;902.5000;7.0000;7.0000;25.0000;1
139;902.5000;9.0000;9.0000;25.0000;1
140;902.5000;21.0000;21.0000;25.0000;1
141;902.5000;21.0000;-973.0000;25.0000;0
142;902.5000;9.0000;9.0000;25.0000;1
143;902.5000;7.0000;7.0000;25.0000;1
144;902.5000;9.0000;9.0000;25.0000;1
145;902.5000;21.0000;21.0000;25.0000;1
146;902.5000;21.0000;-2969.0000;25.0000;0
147;902.5000;9.0000;9.0000;25.0000;1
148;902.5000;15.0000;15.0000;25.0000;1
149;902.5000;13.0000;13.0000;25.0000;1
150;902.5000;15.0000;15.0000;25.0000;1
151;902.5000;8.0000;8.0000;25.0000;1
152;902.5000;20.0000;20.0000;25.0000;1
153;902.5000;8.0000;8.0000;25.0000;1
154;902.5000;6.0000;6.0000;25.0000;1
